ds,start_hour,day_of_week,start_lat,start_lng,end_lat,end_lng,age,gender,usertype
2018-02-12,8,Mon,40.7652654,-73.98192338,40.7652654,-73.98192338,40,1,Subscriber
2018-02-21,10,Wed,40.6830456,-74.00348559,40.6830456,-74.00348559,40,2,Subscriber
2018-02-27,18,Tue,40.69196566,-73.9813018,40.69196566,-73.9813018,48,1,Subscriber
2018-02-16,10,Fri,40.69512845,-73.99595065,40.69512845,-73.99595065,60,1,Subscriber
2018-02-14,17,Wed,40.68962188790333,-73.98304268717766,40.68962188790333,-73.98304268717766,32,1,Subscriber
2018-02-21,9,Wed,40.782454175279874,-73.9489196240902,40.782454175279874,-73.9489196240902,29,1,Subscriber
2018-02-24,13,Sat,40.73649403,-73.99704374,40.73649403,-73.99704374,27,1,Subscriber
2018-02-26,8,Mon,40.714851505262516,-74.01122331619263,40.714851505262516,-74.01122331619263,72,1,Subscriber
2018-02-20,14,Tue,40.74025878,-73.98409214,40.74025878,-73.98409214,28,1,Subscriber
2018-02-19,15,Mon,40.746647,-73.993915,40.746647,-73.993915,64,1,Subscriber
2018-02-21,18,Wed,40.73827428,-73.98751968,40.73827428,-73.98751968,26,2,Subscriber
2018-02-17,14,Sat,40.7652654,-73.98192338,40.7652654,-73.98192338,47,1,Subscriber
2018-02-17,12,Sat,40.7284186,-73.98713956,40.7284186,-73.98713956,30,1,Customer
2018-02-09,19,Fri,40.70463334,-74.01361706,40.70463334,-74.01361706,55,1,Subscriber
2018-02-19,13,Mon,40.73038599,-74.00214988,40.73038599,-74.00214988,28,1,Subscriber
2018-02-16,8,Fri,40.75510267,-73.97498696,40.75510267,-73.97498696,33,2,Subscriber
2018-02-24,12,Sat,40.72740794,-73.98142006,40.72740794,-73.98142006,30,1,Subscriber
2018-02-21,9,Wed,40.71782143,-73.97628939,40.71782143,-73.97628939,57,2,Subscriber
2018-02-21,14,Wed,40.795,-73.9645,40.795,-73.9645,30,2,Subscriber
2018-02-12,8,Mon,40.6772744,-73.98282002,40.6772744,-73.98282002,48,2,Subscriber
2018-02-18,18,Sun,40.700469,-73.991454,40.700469,-73.991454,31,1,Subscriber
2018-02-12,18,Mon,40.71413089,-73.9970468,40.71413089,-73.9970468,30,1,Subscriber
2018-02-02,18,Fri,40.76370739,-73.9851615,40.76370739,-73.9851615,42,1,Subscriber
2018-02-13,18,Tue,40.73221853,-73.98165557,40.73221853,-73.98165557,37,2,Subscriber
2018-02-06,8,Tue,40.72082834,-73.97793172,40.72082834,-73.97793172,29,1,Subscriber
2018-02-24,19,Sat,40.7839636,-73.9471673,40.7839636,-73.9471673,25,1,Subscriber
2018-02-22,9,Thu,40.751581,-73.97791,40.751581,-73.97791,58,1,Subscriber
2018-02-15,12,Thu,40.75668720603179,-73.98257732391357,40.75668720603179,-73.98257732391357,39,1,Subscriber
2018-02-27,18,Tue,40.751551,-73.993934,40.751551,-73.993934,25,1,Subscriber
2018-02-12,14,Mon,40.76068327096592,-73.9845272898674,40.76068327096592,-73.9845272898674,46,1,Subscriber
2018-02-08,9,Thu,40.7435337324616,-74.00367558002472,40.7435337324616,-74.00367558002472,48,1,Subscriber
2018-02-18,13,Sun,40.6703837,-73.97839676,40.6703837,-73.97839676,45,1,Subscriber
2018-02-07,21,Wed,40.74025878,-73.98409214,40.74025878,-73.98409214,22,2,Subscriber
2018-02-21,20,Wed,40.73587678,-73.98205027,40.73587678,-73.98205027,62,2,Subscriber
2018-02-11,12,Sun,40.7612274,-73.96094022,40.7612274,-73.96094022,51,1,Subscriber
2018-02-11,11,Sun,40.68650065,-73.96563307,40.68650065,-73.96563307,40,1,Subscriber
2018-02-09,21,Fri,40.7390169121,-74.0026376103,40.7390169121,-74.0026376103,47,1,Subscriber
2018-02-08,15,Thu,40.7403432,-73.98955109,40.7403432,-73.98955109,46,1,Subscriber
2018-02-15,15,Thu,40.749717753,-74.002950346,40.749717753,-74.002950346,57,1,Subscriber
2018-02-13,8,Tue,40.751551,-73.993934,40.751551,-73.993934,47,1,Subscriber
2018-02-19,10,Mon,40.71870987,-74.0090009,40.71870987,-74.0090009,58,1,Subscriber
2018-02-15,17,Thu,40.70862144,-74.00722156,40.70862144,-74.00722156,57,1,Subscriber
2018-02-21,17,Wed,40.70355377,-74.00670227,40.70355377,-74.00670227,60,2,Subscriber
